"Localization Key","English","Polish"
"PF2E.Action.Strike.RangedLabel","Ranged Strike: {weapon}","Cios Dystansowy: {weapon}"
"PF2E.ActionActionTypeLabel","Action Type","Typ Akcji"
"PF2E.ActionActionsLabel","Actions","Akcje"
"PF2E.ActionBrowserSearchHint","You can search for name or custom attributes. Possible searchable attributes are:<br> source, spellType, level, school, components, materials, target, range, time, duration, damage, damageType, save, concentration, ritual, ability and classes. <br>Example: 'fire, damage:d6' to show all spells that have fire in their name and a d6 in the damage","Możesz wyszukiwać po nazwie lub wybranych atrybutach. Dostępne do wyszukiwania atrybuty to:<br> source, spellType, level, school, components, materials, target, range, time, duration, damage, damageType, save, concentration, ritual, ability and classes. <br>Przykładowo: 'fire, damage:d6' pokazuje wszystkie zaklęcia z fire w nazwie i kością k6 w obrażeniach"
"PF2E.ActionDeathNoteLabel","Death Note","Notatka przy Śmierci"
"PF2E.ActionNumber1","One","Jedna"
"PF2E.ActionNumber2","Two","Dwie"
"PF2E.ActionNumber3","Three","Trzy"
"PF2E.ActionSkillRequirementLabel","Requirement","Wymaganie"
"PF2E.ActionTypeAction","Action","Akcja"
"PF2E.ActionTypeFree","Free Action","Darmowa Akcja"
"PF2E.ActionTypePassive","Passive","Pasywna"
"PF2E.ActionTypeReaction","Reaction","Reakcja"
"PF2E.ActionTypeSingle","Single Action","Pojedyncza Akcja"
"PF2E.ActionWeaponLabel","Associated Weapon","Powiązana Broń"
"PF2E.ActionsActionsHeader","Actions","Akcje"
"PF2E.ActionsFreeActionsHeader","Free Actions","Darmowe Akcje"
"PF2E.ActionsReactionsHeader","Reactions","Reakcje"
"PF2E.Actor.ApplyDamage.AtFullHealth","<actor>{actor}</actor> is already at full health.","<actor>{actor}</actor> posiada już pełną ilość punktów żywotności."
"PF2E.Actor.ApplyDamage.DamagedForN","<actor>{actor}</actor> takes {hpDamage} damage.","<actor>{actor}</actor> odnosi {hpDamage} punktów obrażeń."
"PF2E.Actor.ApplyDamage.DamagedForNShield","<actor>{actor}</actor>'s shield absorbs {absorbedDamage} damage, with an additional {hpDamage} making it through.","Tarcza blokuje {absorbedDamage} punktów obrażeń, ale <actor>{actor}</actor> odnosi pozostałe {hpDamage} punktów obrażeń."
"PF2E.Actor.ApplyDamage.HealedForN","<actor>{actor}</actor> is healed for {hpDamage} damage.","<actor>{actor}</actor> otrzymuje {hpDamage} punktów żywotności w wyniku leczenia."
"PF2E.Actor.ApplyDamage.InstantDeath.DeathEffect","The death effect immediately kills them.","Efekt śmierci natychmiast zabija cel."
"PF2E.Actor.ApplyDamage.InstantDeath.Destroyed","They are destroyed.","Cel zostaje zniszczony."
"PF2E.Actor.ApplyDamage.InstantDeath.FinePowder","They are reduced to a fine powder; their gear remains.","Cel zmienia się w proch, ale jego ekwipunek pozostaje."
"PF2E.Actor.ApplyDamage.InstantDeath.MassiveDamage","The massive damage immediately kills them.","Masywne obrażenia zabijają cel na miejscu."
"PF2E.Actor.ApplyDamage.ShieldAbsorbsAll","<actor>{actor}</actor> is unscathed, their shield completely absorbing {absorbedDamage} damage.","Tarcza w całości blokuje {absorbedDamage} obrażeń a <actor>{actor}</actor> wychodzi z opresji bez szwanku."
"PF2E.Actor.ApplyDamage.ShieldDamagedForN","Their shield is also damaged for {shieldDamage}.","Tarcza również odnosi {shieldDamage} obrażeń."
"PF2E.Actor.ApplyDamage.ShieldDamagedForNBroken","Their shield also takes {shieldDamage} damage, breaking it.","Tarcza również odnosi {shieldDamage} obrażeń i ulega uszkodzeniu."
"PF2E.Actor.ApplyDamage.ShieldDamagedForNDestroyed","Their shield also takes {shieldDamage} damage, destroying it.","Tarcza również odnosi {shieldDamage} obrażeń i niszczy się."
"PF2E.Actor.ApplyDamage.ShieldNotRaised","{actor} has not raised their shield.","{actor} nie ma wzniesionej tarczy."
"PF2E.Actor.ApplyDamage.TakesNoDamage","<actor>{actor}</actor> takes no damage.","<actor>{actor}</actor> nie odnosi obrażeń."
"PF2E.Actor.ApplyDamage.TheTarget","The target","Cel"
"PF2E.Actor.Attacks","Attacks","Ataki"
"PF2E.Actor.Character.Attribute.Apex","Apex Attribute","Cecha Apeksu"
"PF2E.Actor.Character.Attribute.Boosts","Attribute Boosts","Rozwoje Cech"
"PF2E.Actor.Character.Attribute.Key","Key Attribute","Cecha Kluczowa"
"PF2E.Actor.Character.AttributeBuilder.InputMethod.Description","Switching method resets your attribute modifier distribution.","Przełączanie metody wprowadzania resetuje rozkład modyfikatorów cech."
"PF2E.Actor.Character.AttributeBuilder.InputMethod.Manual","Manual Entry","Ręczne Wpisywanie"
"PF2E.Actor.Character.AttributeBuilder.InputMethod.Title","Input Method","Sposób Wprowadzania"
"PF2E.Actor.Character.AttributeBuilder.AncestryMissingHelp","Choose an ancestry to select boosts.","Wybierz przodkowstwo aby określić rozwój cech."
"PF2E.Actor.Character.AttributeBuilder.AlternateBoostsLabel","Alternate Boosts","Alternatywne Rozwoje"
"PF2E.Actor.Character.AttributeBuilder.BackgroundBoostDescription","Two boosts: one must be {a} or {b}.","Dwa rozwoje: jednym musi być {a} lub {b}."
"PF2E.Actor.Character.AttributeBuilder.BackgroundMissingHelp","Choose a background to select boosts.","Wybierz pochodzenie aby określić rozwój cech."
"PF2E.Actor.Character.AttributeBuilder.Boost","Boost","Rozwój"
"PF2E.Actor.Character.AttributeBuilder.Boosts","Boosts","Rozwoje"
"PF2E.Actor.Character.AttributeBuilder.ClassMissingHelp","Choose a class to select boosts.","Wybierz klasę aby określić rozwój cech."
"PF2E.Actor.Character.AttributeBuilder.Complete","Complete","Zakończ"
"PF2E.Actor.Character.AttributeBuilder.Flaw","Flaw","Wada"
"PF2E.Actor.Character.AttributeBuilder.Flaws","Flaws","Wady"
"PF2E.Actor.Character.AttributeBuilder.Increase","Increase","Zwiększenie"
"PF2E.Actor.Character.AttributeBuilder.KeyIcon","Key","Kluczowa"
"PF2E.Actor.Character.AttributeBuilder.LegacyFlaws","Legacy Flaws","Stare Zasady Wad"
"PF2E.Actor.Character.AttributeBuilder.Partial","Partial","Częściowy"
"PF2E.Actor.Character.AttributeBuilder.NotSelected","Not Selected","Nie Wybrano"
"PF2E.Actor.Character.AttributeBuilder.Title","Assign your boosts","Rozlokuj swoje rozwoje cech"
"PF2E.Actor.Character.AttributeBuilder.VoluntaryFlaw.Description","You can take one or more additional penalties purely for roleplaying a highly flawed character.","Możesz dobrać jedną lub więcej kar, aby odgrywać postać ze znaczącymi słabościami."
"PF2E.Actor.Character.AttributeBuilder.VoluntaryFlaw.LegacyDescription","This is the Voluntary Flaws feature that existed until the CRB's 4th printing. It is kept in place for older characters and as a continued option for Pathfinder Society play.","Stare zasady dobrowolnych Wad, które istniały aż do 4. wydania CRB. Są w tym miejscu zachowane, na potrzeby starych postaci oraz ze względu na okazjonalne użycie w zorganizowanych grach Pathfinder Society."
"PF2E.Actor.Character.AttributeBuilder.VoluntaryFlaw.Title","Voluntary Flaws","Dobrowolne Wady"
"PF2E.Actor.Character.Active","Active","Aktywne"
"PF2E.Actor.Character.ActiveHeader","Active Activities","Aktywne Aktywności"
"PF2E.Actor.Character.Biography.ToggleVisibility","Toggle visibility to other players","Przełącz widoczność dla innych graczy"
"PF2E.Actor.Character.Blurb","Level {level} {ancestry} {class}","{ancestry} {class} Poziomu {level}"
"PF2E.Actor.Character.ClassDC.Label","Class DC","Klasowy ST"
"PF2E.Actor.Character.ClassDC.LabelSpecific","Class DC ({class})","Klasowy ST ({class})"
"PF2E.Actor.Character.ClassDC.Plural","Class DCs","Klasowe ST"
"PF2E.Actor.Character.Clear","Clear","Wyczyść"
"PF2E.Actor.Character.Configure.ShowBasicUnarmed.Hint","A PC always has available an unspecific unarmed attack using any part of their body. The attack may be hidden from view if the player never intends to use it.","BN zawsze dysponuje nieokreślonym atakiem wręcz wykorzystującym dowolną część jego ciała. Jeśli gracz i tak nie ma zamiaru go używać można go ukryć."
"PF2E.Actor.Character.Configure.ShowBasicUnarmed.Label","Show Basic Unarmed Attack","Pokaż Podstawowy Atak Wręcz"
"PF2E.Actor.Character.Configure.Title","Configure Character","Konfiguruj Postać"
"PF2E.Actor.Character.HandsOccupied","Hands Occupied","Zajęte Ręce"
"PF2E.Actor.Character.Proficiency.Attack.Advanced","Advanced Weapons","Bronie Zaawansowane"
"PF2E.Actor.Character.Proficiency.Attack.Martial","Martial Weapons","Bronie Wojskowe"
"PF2E.Actor.Character.Proficiency.Attack.Simple","Simple Weapons","Bronie Proste"
"PF2E.Actor.Character.Proficiency.Attack.Title","Attacks","Ataki"
"PF2E.Actor.Character.Proficiency.Attack.Unarmed","Unarmed Attacks","Ataki bez Broni"
"PF2E.Actor.Character.Proficiency.Defense.Heavy","Heavy Armor","Pancerz Ciężki"
"PF2E.Actor.Character.Proficiency.Defense.HeavyBarding","Heavy Barding","Kropierz Ciężki"
"PF2E.Actor.Character.Proficiency.Defense.Light","Light Armor","Pancerz Lekki"
"PF2E.Actor.Character.Proficiency.Defense.LightBarding","Light Barding","Kropierz Lekki"
"PF2E.Actor.Character.Proficiency.Defense.Medium","Medium Armor","Pancerz Średni"
"PF2E.Actor.Character.Proficiency.Defense.Title","Defenses","Obrona"
"PF2E.Actor.Character.Proficiency.Defense.Unarmored","Unarmored Defense","Obrona bez Pancerza"
"PF2E.Actor.Character.Rest.Label","Rest for the Night","Udaj się na Spoczynek"
"PF2E.Actor.Character.Shield.ACBonus","Shield AC Bonus (When Raised)","Premia Tarczy do KP (Gdy Wzniesiona)"
"PF2E.Actor.Character.Shield.BrokenThreshold","Shield Broken Threshold","PU Tarczy"
"PF2E.Actor.Character.Shield.Hardness.Hint","Shield Hardness","Twardość Tarczy"
"PF2E.Actor.Character.Shield.Hardness.Label","H","T"
"PF2E.Actor.Character.Shield.HitPoints.Value","Shield HP","PŻ Tarczy"
"PF2E.Actor.Character.Shield.HitPoints.Max","Shield Max HP","Maks. PŻ Tarczy"
"PF2E.Actor.Creature.Alliance.Default","Ownership Default ({alliance})","Domyślna dla Właściciela ({alliance})"
"PF2E.Actor.Creature.Alliance.Neutral","Neutral","Neutralna"
"PF2E.Actor.Creature.Alliance.Opposition","Opposition","Opozycja"
"PF2E.Actor.Creature.Alliance.Party","Party","Drużyna"
"PF2E.Actor.Creature.AttributeModifiers","Attribute Modifiers","Modyfikatory Cech"
"PF2E.Actor.Creature.Configure.Alliance.Hint","A creature can be in opposition to the party, allied with it, or neutral. This impacts some mechanics during an encounter, such as flanking.","Istota może być w opozycji do drużyny, sprzymierzona z nią lub neutralna. Wpływa to na niektóre mechaniki podczas starcia, takie jak flankowanie."
"PF2E.Actor.Creature.Configure.Alliance.Label","Alliance","Lojalność"
"PF2E.Actor.Creature.CriticalSpecialization","Critical Specialization","Krytyczna Specjalizacja"
"PF2E.Actor.Creature.Sense.Acuity.Imprecise","Imprecise","Nieprecyzyjny"
"PF2E.Actor.Creature.Sense.Acuity.Label","Acuity","Czułość"
"PF2E.Actor.Creature.Sense.Acuity.Precise","Precise","Precyzyjny"
"PF2E.Actor.Creature.Sense.Acuity.Vague","Vague","Niejasny"
"PF2E.Actor.Creature.Sense.Label","Senses","Zmysły"
"PF2E.Actor.Creature.Sense.NoRangeLimit","No Limit","Nieograniczony"
"PF2E.Actor.Creature.Sense.RangeLabel","Range","Zasięg"
"PF2E.Actor.Creature.Sense.Type.Darkvision","Darkvision","Widzenie w Ciemności"
"PF2E.Actor.Creature.Sense.Type.Echolocation","Echolocation","Echolokacja"
"PF2E.Actor.Creature.Sense.Type.GreaterDarkvision","Greater Darkvision","Większe Widzenie w Ciemności"
"PF2E.Actor.Creature.Sense.Type.Hearing","Hearing","Słuch"
"PF2E.Actor.Creature.Sense.Type.Heatsight","Heatsight","Wizja Termiczna"
"PF2E.Actor.Creature.Sense.Type.Lifesense","Lifesense","Wyczucie Życia"
"PF2E.Actor.Creature.Sense.Type.LowLightVision","Low-Light Vision","Widzenie w Słabym Świetle"
"PF2E.Actor.Creature.Sense.Type.Motionsense","Motionsense","Wyczucie Ruchu"
"PF2E.Actor.Creature.Sense.Type.Scent","Scent","Węch"
"PF2E.Actor.Creature.Sense.Type.SeeInvisibility","See Invisibility","Widzenie Niewidzialności"
"PF2E.Actor.Creature.Sense.Type.Spiritsense","Spiritsense","Wyczucie Dusz"
"PF2E.Actor.Creature.Sense.Type.Thoughtsense","Thoughtsense","Wyczycie Myśli"
"PF2E.Actor.Creature.Sense.Type.Tremorsense","Tremorsense","Wyczucie Drgań"
"PF2E.Actor.Creature.Sense.Type.Wavesense","Wavesense","Wyczucie Fal"
"PF2E.Actor.Creature.Sense.WithAcuity","{sense} ({acuity})","{sense} ({acuity})"
"PF2E.Actor.Creature.Sense.WithAcuityAndRange","{sense} ({acuity} {range} Ft)","{sense} ({acuity} {range} ft.)"
"PF2E.Actor.Creature.SpellPreparation.Hint","To prepare a spell, drag one from this list to a slot on the actor sheet.","Aby przygotować zaklęcie przeciągnij je z tej listy do komórki na twojej karcie postaci."
"PF2E.Actor.Creature.SpellPreparation.HintFlexible","To prepare a spell, enable it here. To prepare a cantrip, drag one from this list to a slot on the actor sheet.","Aby przygotować zaklęcie, zaznacz je tutaj. Aby przygotować sztuczkę, przeciągnij ją z tej listy na komórkę na kartę postaci."
"PF2E.Actor.Creature.SpellPreparation.Search","Search Spells","Wyszukaj Zaklęcia"
"PF2E.Actor.Creature.SpellPreparation.Title","{actor}: Spell Preparation","Przygotowanie Zaklęć: {actor}"
"PF2E.Actor.Creature.Spellcasting.Cantrips","Cantrips","Sztuczki"
"PF2E.Actor.Creature.Spellcasting.InvalidProficiency","Invalid","Niewłaściwa"
"PF2E.Actor.Creature.Spellcasting.MagicItemTypesLabel","Magic Item Types","Typy Magicznych Przedmiotów"
"PF2E.Actor.Creature.Spellcasting.Rituals","Rituals","Rytuały"
"PF2E.Actor.Creature.Spellcasting.TraditionSpellcasting","{tradition} Spellcasting","Rzucanie Zaklęć: {tradition}"
"PF2E.Actor.Creature.Spellcasting.ValidItemTypes.All","All Magic Items","Wszystkie Magiczne Przedmioty"
"PF2E.Actor.Creature.Spellcasting.ValidItemTypes.Scroll","Scrolls Only","Tylko Zwoje"
"PF2E.Actor.Dead","Dead","Martwy"
"PF2E.Actor.Familiar.Blurb","Familiar of {master}","Chowaniec ({master})"
"PF2E.Actor.Familiar.Master.ArmorClass","Master Armor Class","Klasa Pancerza Pana"
"PF2E.Actor.Familiar.Master.Perception","Master Perception","Percepcja Pana"
"PF2E.Actor.Hardness.ShortLabel","HRD","TWAR"
"PF2E.Actor.Hazard.EmitsSound.Encounter","During Encounters","Podczas Starcia"
"PF2E.Actor.Hazard.EmitsSound.False","Never","Nigdy"
"PF2E.Actor.Hazard.EmitsSound.Hint","Whether this hazard emits sound and can be sensed via hearing","Czy to zagrożenie wydaje dźwięk który można wykryć zmysłem słuchu"
"PF2E.Actor.Hazard.EmitsSound.Title","Emits Sound?","Wydaje Dźwięk?"
"PF2E.Actor.Hazard.EmitsSound.True","Always","Zawsze"
"PF2E.Actor.Hazard.Level","Hazard {level}","Zagrożenie {level}"
"PF2E.Actor.Hazard.Simple","Simple","Proste"
"PF2E.Actor.Hazard.TitleEdit","{name} (Edit Mode)","{name} (Tryb Edycji)"
"PF2E.Actor.HitPoints.Unrecoverable","{value} hit points are currently unrecoverable.","{value} punktów żywotności jest obecnie nie do odzyskania."
"PF2E.Actor.Inventory.DistributeCoins","Distribute Coins","Rozdaj Monety"
"PF2E.Actor.Inventory.Encumbrance","Encumbrance","Obciążenie"
"PF2E.Actor.Inventory.ItemQuantity.Decrease.Click","[Click] Decrease by 1","[Kliknij] Zmniejsz o 1"
"PF2E.Actor.Inventory.ItemQuantity.Decrease.ShiftClick","[Shift-Click] Decrease by 5","[Shift-Kliknij] Zmniejsz o 5"
"PF2E.Actor.Inventory.ItemQuantity.Decrease.ControlClick","[Control-Click] Decrease by 10","[Control-Kliknij] Zmniejsz o 10"
"PF2E.Actor.Inventory.ItemQuantity.Increase.Click","[Click] Increase by 1","[Kliknij] Zwiększ o 1"
"PF2E.Actor.Inventory.ItemQuantity.Increase.ShiftClick","[Shift-Click] Increase by 5","[Shift-Kliknij] Zwiększ o 5"
"PF2E.Actor.Inventory.ItemQuantity.Increase.ControlClick","[Control-Click] Increase by 10","[Control-Kliknij] Zwiększ o 10"
"PF2E.Actor.Inventory.TotalBulk","Total Bulk: {bulk}","Całkowite Naręcze: {bulk}"
"PF2E.Actor.IWREditor.DoubleVs","Double Vs.","Podwójna Przeciw"
"PF2E.Actor.IWREditor.Exceptions","Exceptions","Wyjątki"
"PF2E.Actor.IWREditor.Title","{actor}: {category}","{actor}: {category}"
"PF2E.Actor.IWREditor.Type","Type","Typ"
"PF2E.Actor.NPC.Configure.Lootable.DefaultLootable","Global Default (Lootable)","Ustawienie Globalne (Można Złupić)"
"PF2E.Actor.NPC.Configure.Lootable.DefaultNotLootable","Global Default (Not Lootable)","Ustawienie Globalne (Nie można Złupić)"
"PF2E.Actor.NPC.Configure.Lootable.Hint","Set whether this NPC becomes lootable by players upon its demise. The global default can be configured in <a>Automation Settings</a>.","Określ czy BN będzie mógł być złupiony przez graczy po śmierci. Domyślne ustawienie globalne można zmienić w <a>Ustawieniach Automatyzacji</a>."
"PF2E.Actor.NPC.Configure.Lootable.Label","Lootable?","Czy można złupić BN?"
"PF2E.Actor.NPC.Configure.Lootable.Lootable","Lootable","Można Złupić"
"PF2E.Actor.NPC.Configure.Lootable.NotLootable","Not Lootable","Nie można Złupić"
"PF2E.Actor.NPC.Configure.Title","Configure NPC","Konfiguruj BN"
"PF2E.Actor.NPC.GenerateAttack.Confirm.Content","An attack has already been generated for this weapon. Would you like to replace it?","Dla tej broni wygenerowano już atak. Czy chcesz go zastąpić?"
"PF2E.Actor.NPC.GenerateAttack.Confirm.Title","Regenerate attack","Regeneruj Atak"
"PF2E.Actor.NPC.GenerateAttack.Label","Generate Attack","Wygeneruj Atak"
"PF2E.Actor.NPC.GenerateAttack.Notification","Generated NPC attack: {attack}","Wygenerowany atak BN: {attack}"
"PF2E.Actor.NPC.Identification.Skills.Label","{skills}: DC {dc} ({adjustment})","{skills}: ST {dc} ({adjustment})"
"PF2E.Actor.NPC.Identification.Skills.Tooltip","""The skill used to identify a creature usually depends on that creature’s trait, as shown on Table 10–7, but you have leeway on which skills apply."" – CRB pg. 506","""Umiejętność używana do identyfikacji istoty na ogół zależy od cech tej istoty jak pokazano w Tabeli 10–7, ale masz swobodę wyboru, na które umiejętności zezwalasz."" – CRB str. 506"
"PF2E.Actor.NPC.Identification.Lore.Label","Applicable Lore: DC {dc1} ({adjustment1}) or DC {dc2} ({adjustment2})","Adekwatne Obeznanie: ST {dc1} ({adjustment1}) lub ST {dc2} ({adjustment2})"
"PF2E.Actor.NPC.Identification.Lore.Tooltip","""Using the applicable Lore usually has an easy or very easy DC (before adjusting for rarity)."" – CRB pg. 506","""Używanie adekwatnego Obeznania na ogół pozwala na użycie łatwego albo bardzo łatwego ST (przed poprawkami ze względu na rzadkość)."" – CRB str. 506"
"PF2E.Actor.NPC.SimpleSheet","Simple NPC Sheet","Prosta Karta BN"
"PF2E.Actor.NPC.SkillsEditor.LorePlaceholder","Carpentry Lore","Obeznanie w Ciesielce"
"PF2E.Actor.NPC.SkillsEditor.Title","Skills Editor ({actor})","Edytor Umiejętności ({actor})"
"PF2E.Actor.Party.BlankSlate","This party doesn't have any members. Drag a creature from the actor sidebar to get started.","Ta drużyna nie posiada członków. Przeciągnij istotę na to pole aby ją zawiązać."
"PF2E.Actor.Party.CheckPrompt.AdjustDifficulty","Adjust Difficulty","Dostosuj Trudność"
"PF2E.Actor.Party.CheckPrompt.ChooseLores","Choose Lores","Wybierz Obeznania"
"PF2E.Actor.Party.CheckPrompt.ChooseSaves","Choose Saves","Wybierz Rzuty Obronne"
"PF2E.Actor.Party.CheckPrompt.ChooseSkills","Choose Skills/Perception","Wybierz Umiejętności/Percepcję"
"PF2E.Actor.Party.CheckPrompt.LevelDC","Level-Based DC","ST Oparty na Poziomie"
"PF2E.Actor.Party.CheckPrompt.Post","Generate Prompt","Wygeneruj Zapytanie"
"PF2E.Actor.Party.CheckPrompt.PromptTitle","Prompt Title","Tytuł Zapytania"
"PF2E.Actor.Party.CheckPrompt.SecretCheck","Secret Check","Test Sekretny"
"PF2E.Actor.Party.CheckPrompt.SetDC","Set DC","Ustaw ST"
"PF2E.Actor.Party.CheckPrompt.SimpleDC","Simple DC","Prosty ST"
"PF2E.Actor.Party.CheckPrompt.SkillsPerception","Skills/Perception","Umiejętności/Percepcja"
"PF2E.Actor.Party.CheckPrompt.Title","Generate Check Prompt","Wygeneruj Zapytanie o Test"
"PF2E.Actor.Party.CheckPrompt.TitleShort","Check Prompt","Zapytanie o Test"
"PF2E.Actor.Party.Coin","Coin","Monety"
"PF2E.Actor.Party.ClearActivities.Label","Clear","Wyczyść"
"PF2E.Actor.Party.ClearActivities.Complete","Party exploration activities have been cleared","Aktywności eksploracyjne drużyny zostały wyczyszczone"
"PF2E.Actor.Party.ClownCar.Deposit","Deposit PC Tokens","Umieść Żetony BG"
"PF2E.Actor.Party.ClownCar.Retrieve","Retrieve PC Tokens","Wyciągnij Żetony BG"
"PF2E.Actor.Party.DefaultName","The Party","Drużyna"
"PF2E.Actor.Party.InvalidCampaign.Hint","The campaign data is invalid","Dane kampanii są niewłaściwe"
"PF2E.Actor.Party.InvalidCampaign.Title","Invalid Campaign ({party})","Niewłaściwa Kampania ({party})"
